z,vol_rate_Mpc_all
0.0,1.2518039205484999e-08
0.05,1.2144891353470004e-08
0.1,1.1656244018605008e-08
0.15000000000000002,1.1711724833095003e-08
0.2,1.1717422130849998e-08
0.25,1.2022520485575001e-08
0.3,1.2058449185684998e-08
0.35,1.2480012982959999e-08
0.39999999999999997,1.2765700980980002e-08
0.44999999999999996,1.3416871641625e-08
0.49999999999999994,1.341943032279e-08
0.5499999999999999,1.4245652541264997e-08
0.6,1.49088027932e-08
0.65,1.459673317554e-08
0.7000000000000001,1.543502081309e-08
0.7500000000000001,1.627614496081e-08
0.8000000000000002,1.6526674737950008e-08
0.8500000000000002,1.6194795335590005e-08
0.9000000000000002,1.7383133206965e-08
0.9500000000000003,1.7509582870299998e-08
1.0000000000000002,1.8407907363750003e-08
1.0500000000000003,1.765897977606e-08
1.1000000000000003,1.8890907639449998e-08
1.1500000000000004,1.8098768006285002e-08
1.2000000000000004,1.9138085189565004e-08
1.2500000000000004,1.95335772832e-08
1.3000000000000005,2.0442325204325e-08
1.3500000000000005,2.020351874977e-08
1.4000000000000006,2.0093506132560004e-08
1.4500000000000006,2.0529579223885e-08
1.5000000000000007,1.9467457925575002e-08
1.5500000000000007,1.9659143406165e-08
1.6000000000000008,1.9328122571019994e-08
1.6500000000000008,1.9280916912334997e-08
1.7000000000000008,1.9193827305850006e-08
1.7500000000000009,1.9339188508949996e-08
1.800000000000001,1.97452238528e-08
1.850000000000001,1.8307200732699997e-08
1.900000000000001,1.951568243515e-08
1.950000000000001,1.9165435184400005e-08
2.000000000000001,1.76804834893e-08
2.0500000000000007,1.8316545875600002e-08
2.1000000000000005,1.7139461209249997e-08
2.1500000000000004,1.7381539776699995e-08
2.2,1.6900916690450003e-08
2.25,1.5308684209599997e-08
2.3,1.4853474873600001e-08
2.3499999999999996,1.56576162526e-08
2.3999999999999995,1.5443744309500003e-08
2.4499999999999993,1.4185121455000002e-08
2.499999999999999,1.4485236485099997e-08
2.549999999999999,1.2616361222499999e-08
2.5999999999999988,1.3910102335000003e-08
2.6499999999999986,1.21483661052e-08
2.6999999999999984,1.3101014899900001e-08
2.7499999999999982,1.1147005612600001e-08
2.799999999999998,1.212204238515e-08
2.849999999999998,1.1719427441950001e-08
2.8999999999999977,1.0576832706800001e-08
2.9499999999999975,1.1061239060400001e-08
2.9999999999999973,1.0753120782350001e-08
3.049999999999997,1.044992856375e-08
3.099999999999997,9.38645451465e-09
3.149999999999997,9.949764622749999e-09
3.1999999999999966,9.681883118850003e-09
3.2499999999999964,9.3915317384e-09
3.2999999999999963,9.026034758449999e-09
3.349999999999996,7.946253825950001e-09
3.399999999999996,8.494197156899999e-09
3.4499999999999957,8.302301429249999e-09
3.4999999999999956,7.97532836995e-09
3.5499999999999954,7.733635818950001e-09
3.599999999999995,7.395122324449999e-09
3.649999999999995,6.5274581548999995e-09
3.699999999999995,6.880867182999999e-09
3.7499999999999947,6.7508332785e-09
3.7999999999999945,5.92135109935e-09
3.8499999999999943,5.621245236099999e-09
3.899999999999994,5.523062019000001e-09
3.949999999999994,5.8652431595e-09
3.999999999999994,5.023691299e-09
4.049999999999994,4.9096621874999994e-09
4.099999999999993,4.659233661500001e-09
4.149999999999993,4.9893608910000004e-09
4.199999999999993,4.288771427000001e-09
4.249999999999993,4.0668299415e-09
4.299999999999993,3.9713908495e-09
4.3499999999999925,3.7416563195000006e-09
4.399999999999992,3.5948973665e-09
4.449999999999992,3.8645748875e-09
4.499999999999992,3.295984304e-09
4.549999999999992,3.1296160789999995e-09
4.599999999999992,3.4086844400000006e-09
4.6499999999999915,2.9178930425e-09
4.699999999999991,2.8044099144999995e-09
4.749999999999991,3.0522618605000005e-09
4.799999999999991,2.979133412499999e-09
4.849999999999991,2.4956676470000004e-09
4.899999999999991,2.4437791134999997e-09
4.94999999999999,2.359499664999999e-09
4.99999999999999,2.292164762e-09
5.04999999999999,2.199069343e-09
5.09999999999999,2.4629712569999996e-09
5.14999999999999,2.3951572174999995e-09
5.1999999999999895,2.0595524834999996e-09
5.249999999999989,1.9285770170000003e-09
5.299999999999989,2.164000464999999e-09
5.349999999999989,1.8810901544999996e-09
5.399999999999989,2.0241938680000004e-09
5.449999999999989,1.8120789340000002e-09
5.4999999999999885,1.9366245639999997e-09
5.549999999999988,1.6534173429999998e-09
5.599999999999988,1.637660194e-09
5.649999999999988,1.8080853215000002e-09
5.699999999999988,1.5201542049999998e-09
5.749999999999988,1.4982006444999999e-09
5.799999999999987,1.4769931420000003e-09
5.849999999999987,1.6230405749999996e-09
5.899999999999987,1.5915474129999998e-09
5.949999999999987,1.570937166e-09
5.999999999999987,1.5470225884999998e-09
